科目分類,貸借区分,連結科目コード,連結科目名（日）,連結科目名（英）,換算区分,金額区分,備考,設定日時,最終更新日時
売上原価,借方,451390,新聞図書費(製),Book expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451400,減価償却費(製),Depreciation - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451410,保管料(製),Storage costs - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,451450,雑費(製),Miscellaneous expenses - COS,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,461100,期首仕掛品棚卸高(製),Beginning work in process,AR,+,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,462100,期末仕掛品棚卸高(製),Ending work in process,AR,-,,2023/12/21 16:57,2023/12/21 16:57
売上原価,借方,463100,他勘定振替高(製),Work in process transfer to other account - COS,AR,-,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520110,役員報酬,Remuneration for directors (and other officers) - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520130,給料賃金,Salaries and wages - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520140,賞与,Bonuses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520150,雑給,Other salaries - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520160,退職給与,Retirement payments - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520165,退職給付費用,Retirement benefit expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520170,法定福利費,Legal welfare expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520180,福利厚生費,Welfare expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520200,研修採用費,Education and recruiting expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520210,業務委託料,Outsourcing expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520220,荷造運賃,Freight and packing costs - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520230,広告宣伝費,Advertising expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
販売費及び一般管理費,借方,520240,接待交際費,Entertainment expenses - SGA,AR,+,,2023/12/21 16:57,2023/12/21 16:57
